song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"My Home Town","Paul Anka",,1960.51,2
"Mule Skinner Blues","The Fendermen",,1960.51,5
"That's All You Gotta Do","Brenda Lee",Pursuit,1960.51,5
"When Will I Be Loved","The Everly Brothers",Heartache,1960.53,2
"Only The Lonely (Know How I Feel)","Roy Orbison",Heartache,1960.53,8
"Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini","Brian Hyland",,1960.55,8
"Tell Laura I Love Her","Ray Peterson",Heartache,1960.55,5
"Please Help Me, I'm Falling","Hank Locklin",It's Complicated,1960.57,3
"Image Of A Girl","Safaris|The Phantom's Band",Heartache,1960.57,5
"It's Now Or Never","Elvis Presley|The Jordanaires",Pursuit,1960.58,11
"Walking To New Orleans","Fats Domino",Heartache,1960.6,2
"Walk -- Don't Run","The Ventures",,1960.6,9
"The Twist","Chubby Checker",,1960.62,25
"Finger Poppin' Time","Hank Ballard And The Midnighters",,1960.62,4
"Mission Bell","Donnie Brooks",Serenade,1960.64,4
"Volare","Bobby Rydell",,1960.64,5
"In My Little Corner Of The World","Anita Bryant",,1960.66,1
"Theme From The Apartment","Ferrante & Teicher",,1960.68,3
"My Heart Has A Mind Of Its Own","Connie Francis",Serenade,1960.68,10
"Mr. Custer","Larry Verne",,1960.7,7
"Yogi","The Ivy Three",,1960.7,2
"Chain Gang","Sam Cooke",,1960.7,8
"Kiddio","Brook Benton",Heartache,1960.7,4
"A Million To One","Jimmy Charles|The Revelletts",Heartache,1960.72,5
"Save The Last Dance For Me","The Drifters",Serenade,1960.74,9
"So Sad (To Watch Good Love Go Bad)","The Everly Brothers",Heartache,1960.74,5
"Devil Or Angel","Bobby Vee",It's Complicated,1960.78,5
"I Want To Be Wanted","Brenda Lee",Heartache,1960.78,6
"Let's Think About Living","Bob Luman",,1960.81,2
"Poetry In Motion","Johnny Tillotson",Serenade,1960.83,7
"You Talk Too Much","Joe Jones",It's Complicated,1960.83,4
"Georgia On My Mind","Ray Charles",,1960.83,5
"Stay","Maurice Williams & The Zodiacs",Serenade,1960.85,5
"Blue Angel","Roy Orbison",Heartache,1960.85,2
"Let's Go, Let's Go, Let's Go","Hank Ballard And The Midnighters",,1960.85,5
"A Thousand Stars","Kathy Young|The Innocents",Serenade,1960.87,8
"Last Date","Floyd Cramer",,1960.87,10
"New Orleans","U.S. Bonds",,1960.89,3
"Are You Lonesome To-night?","Elvis Presley|The Jordanaires",Heartache,1960.89,11
"Alone At Last","Jackie Wilson",Serenade,1960.91,1
"North To Alaska","Johnny Horton",,1960.91,8
"He Will Break Your Heart","Jerry Butler",,1960.93,3
"Sailor (Your Home Is The Sea)","Lolita",Heartache,1960.93,4
"Wonderland By Night","Bert Kaempfert",,1960.95,10
"Many Tears Ago","Connie Francis",Heartache,1960.95,4
"Exodus","Ferrante & Teicher",,1960.95,11
"You're Sixteen","Johnny Burnette",Serenade,1960.97,4
"Corinna, Corinna","Ray Peterson",Heartache,1960.99,5
"Angel Baby","Rosie And The Originals",Serenade,1961.01,7
"Will You Love Me Tomorrow","The Shirelles",It's Complicated,1961.02,7
"Rubber Ball","Bobby Vee",It's Complicated,1961.02,5
"Calcutta","Lawrence Welk And His Orchestra",,1961.04,9
"Calendar Girl","Neil Sedaka",Serenade,1961.06,5
"Shop Around","The Miracles|Bill ""Smokey"" Robinson",Pursuit,1961.06,6
"Emotions","Brenda Lee",Serenade,1961.08,4
"My Empty Arms","Jackie Wilson",Heartache,1961.1,1
"There's A Moon Out Tonight","The Capris",Serenade,1961.12,4
"Pony Time","Chubby Checker",,1961.12,8
"Dedicated To The One I Love","The Shirelles",Heartache,1961.14,9
"Wheels","The String-A-Longs",,1961.14,6
"Ebony Eyes","The Everly Brothers",Heartache,1961.16,4
"Surrender","Elvis Presley|The Jordanaires",Pursuit,1961.16,8
"Don't Worry","Marty Robbins",Serenade,1961.16,7
